Word-Id,Word-Text
59843f9e-70a9-4f39-b5ec-d5c37ef12ebe,Texas
6fa2bbf0-af9e-40ef-b7a8-f4ce6a6e1177,Prior
b9d1187a-83e8-47fe-aadb-bfe75fc185cd,Authorization
da745524-be30-47d7-a725-fdeb3c8f7b37,Program
8bd3e575-2568-48d8-baad-4a438c2bfdeb,Clinical
6d3bb680-7142-4492-aa35-5ff2530e774e,Edits
300ef399-069a-4c89-9491-44f34267a662,Alinia
bf6d6347-5d0c-4099-8c22-ccdeb1cab112,(Nitazoxanide)
81c6a831-e3fe-4dfc-a0a3-237cff934155,Alinia
0f04174e-30a2-434f-bff7-a9945c72f8c1,(Nitazoxanide)
ea0d0ea0-9411-48ad-9b9d-b9c467abd57d,Oral
9c46e541-02ea-4335-8a1f-de7c63ba4cc9,Suspension
ea6e3b25-4d7e-41ae-b22c-65b25fb96383,Clinical
e7ceddb5-a612-4455-a25e-a1295f5760f6,Edit
c54fc7d9-d6d2-4873-b2e3-e59b3f9d44aa,Criteria
4faa2074-1e99-4af6-ae21-13b775888520,Logic
68b5c1f6-12a5-4846-9882-22113539dad9,Diagram
c253720c-bd6c-4f63-96e1-a7e414d97805,Step
25277449-a6a7-446f-aa73-cba03c362540,1
351783fa-cf1b-4dd2-b54c-0453cd26bba8,Does
76509a12-0d28-41fa-98c1-9a3a1a58c727,the
86af334b-c8a0-4204-bd49-642081f37340,client
512d28e2-ea56-438c-a702-6d51d86f9843,have
6adfbde1-2254-4371-89ff-0ca5c8e8fd4a,a
d8c42c25-e755-4b4e-841d-161ac290cb4c,No
8d693cfc-41bf-4497-8cdc-ffeb90aaa26f,diagnosis
28b12350-fc81-4a40-a491-b6a48297fc0c,of
a8551148-9944-45a6-80c1-5b062c4533ca,giardiasis
fa733104-1c95-41d9-b23e-c538341da841,Deny
b2023153-24be-4a10-b495-7b318cc613ab,Request
99275e78-99bf-4831-99f6-337f30c6bba8,Approve
8bdef1e9-d591-46cb-9177-66c6ac5a4a94,Request
1a5e0d94-9a3f-47f9-9b66-df4a8cf32d4f,or
c63835da-c372-400f-9d4b-4a0d1beb0e3f,cryptosporidiosis
6777f93c-9919-4ac7-9f4c-56b548a095b1,in
2b6a5114-9757-4cfb-8f67-2cc0f65702c8,(30
5f7361fc-85d5-4963-ad05-35698b7efdd0,days)
f3c0ab74-23f9-4fe4-b89f-88c1bcebc314,the
613a0819-3d7c-4c0f-8f2c-f5524ab50f17,past
7a6977fa-d29a-4506-902d-ac2cd65eef45,90
dc5aab9a-7d18-4978-8ea9-e989a32003cb,days?
94f7bc0f-1e80-4de9-a808-81c9dd927507,Yes
fd1042ce-37e9-4630-b03d-979955f1f9f8,Yes
