Word-Id,Word-Text
221250ad-7704-4b9d-a9c4-6937b5e39fbf,Texas
be9e7774-40d5-497f-a8c4-4714bdab2c63,Prior
0b570cec-660b-44e3-b5a7-d03f29a6ba19,Authorization
6758f69f-878e-4f94-8499-f34019ec7b0d,Program
1ad83ba9-0428-42eb-83d4-1b27b76799cb,Clinical
ffdd62f8-d44b-4d5a-aa05-0412ca15e58e,Edits
6ca99939-35eb-4c88-9e7c-91365d51b792,Alinia
776d99b4-bf42-4ddd-9136-1145d441a43e,(Nitazoxanide)
c0decab4-bb1b-47e7-9461-b68b187a9b6f,Alinia
ab316902-08d9-4b46-bcd4-b9b2fc1196b2,(Nitazoxanide)
1882af3e-40f2-4e04-b28f-a48652b576bb,Oral
70ef1440-1dd7-4ae3-b858-fc267b3ae342,Suspension
383c3710-21b4-4ed9-a8b5-3de5cf43a623,Drugs
7fcfdbc4-8279-4c1d-94b7-b324a48e607f,Requiring
8d74bac7-4b32-4ba3-ac1d-4623416ff641,Prior
dd78cee0-a307-4aa5-a35b-3d72bc760a94,Authorization
0b6ab5a2-eae2-477e-8565-263044b06614,The
5f305232-2c62-4809-9485-ba7924a04f5b,listed
03a8fe71-4afe-41a0-9c60-efee35ec2cbc,GCNS
5b002300-1bc4-4deb-91dd-6b5a92948bc6,may
6d866e02-ff99-4da6-a506-ccd50f5c2b97,not
4643a722-a5fa-4153-bdd2-da1b415c6637,be
b2e1a29b-0281-489f-8c31-4c7f28f1a519,an
f2de8e6b-d8bd-4655-bda6-2a8454991d8c,indication
be309692-6af0-4564-91ee-a7abe85cfe8d,of
a3817a8a-52a5-45c3-8924-a59e296a241b,TX
06b8ca99-d090-4285-a989-c63b4700ca11,Medicaid
e10c64dc-f98b-4f47-917a-1eaaa2ea2c20,Formulary
ab933b2f-15b5-4b33-b19e-d1ffd6e3486a,coverage.
afb17bdb-04f4-4e8c-8916-2a8759888f38,To
536f222b-5aec-4be8-b6c8-9840946fc572,learn
3042686b-62e0-4191-82b4-4c2c4290daf0,the
792c1c32-2de4-43ed-b899-d65a1fa5837a,current
5ba23f73-1aa8-4eeb-9e71-d02bceca953b,formulary
f2f2b23a-4bd7-411f-bf81-48e8e9d2d521,"coverage,"
08c79f89-8301-4625-908b-6d6be1d1d3b6,visit
33a3bf11-f839-41dc-aa86-5d3428dfbb23,xVendorDrug.com/formulary/formulary-search
c6cfaae9-d5c4-4d10-9742-cbcd583d783c,Drugs
70996e9b-9631-41b6-8d09-53881cd41c58,Requiring
f66c6a27-a783-48c6-90c2-693e6382283a,Prior
ae14ba22-f486-45b4-b30a-3c9ae576299c,Authorization
3945a155-6af3-47f4-8828-03210f743fe4,Label
3400c7ea-864b-4f83-ae65-912badd200d3,Name
f3e3c8d0-21a7-4057-b5e0-26f44001e2e1,GCN
649d86dc-6e05-4baf-b4db-5f6590f8ed2e,ALINIA
59f5559b-40ae-4a3d-a13c-da841d5a16cd,100
c452b5e6-2457-4f27-af19-ab885ce1138c,MG/5
d1ab6a63-1abd-49c6-9bf8-09168d110f9b,ML
3880a4f3-4bdc-46c4-bf61-cb23eb3b7825,SUSPENSION
3ac7c427-56b7-4bef-8ca4-06899e15e338,42763
95dbcb3b-d83f-4a33-93d5-bd3b33bc1e89,February
c82726c5-6a20-4c06-b394-37d8cabfbcd7,"17,"
76cd3969-a1f8-4046-8a52-9f016f520319,2021
226db13a-81c6-4e96-9ead-7ba628c422b5,Copyright
8f85e988-b039-4ed1-972c-8f05f1f66123,©
4780af81-3228-4ffc-879e-1426c8b34493,2021
b73d98b6-e957-46fe-be85-9bb9ab2ced82,Health
fc213970-5821-44a5-b7a2-6c71b4fcc8b4,Information
875205c4-bb7b-4556-b65c-7590ba81f6aa,"Designs,"
ba67a2c9-f7ed-4d2c-9c00-bb6164713ee2,LLC
4d320acf-05ef-4c88-a237-c46d2b9a6f1e,3
